2026-01-24 16:49:56,145 | WARNING  | IntlExtractor | Request failed (attempt 1): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.NGDP_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x10848a210>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:50:27,161 | WARNING  | IntlExtractor | Request failed (attempt 2): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.NGDP_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x10848a710>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:50:59,177 | WARNING  | IntlExtractor | Request failed (attempt 3): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.NGDP_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x1081cb610>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:51:29,184 | WARNING  | IntlExtractor | Request failed (attempt 1): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.GGR_G01_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x1081cb390>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:52:00,199 | WARNING  | IntlExtractor | Request failed (attempt 2): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.GGR_G01_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x10848a5d0>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:52:32,207 | WARNING  | IntlExtractor | Request failed (attempt 3): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.GGR_G01_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x10848a710>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:53:02,215 | WARNING  | IntlExtractor | Request failed (attempt 1): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.GGX_G01_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x108489e50>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:53:33,229 | WARNING  | IntlExtractor | Request failed (attempt 2): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.GGX_G01_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x10848a210>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:54:05,240 | WARNING  | IntlExtractor | Request failed (attempt 3): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.GGX_G01_XDC?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x108489bd0>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
2026-01-24 16:54:35,249 | WARNING  | IntlExtractor | Request failed (attempt 1): HTTPSConnectionPool(host='dataservices.imf.org', port=443): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/WEO/A.US.NGDP_RPCH?startPeriod=2020&endPeriod=2025 (Caused by ConnectTimeoutError(<HTTPSConnection(host='dataservices.imf.org', port=443) at 0x10848aad0>, 'Connection to dataservices.imf.org timed out. (connect timeout=30)'))
